title,price,description,distCity,uptime,productArea,photoSample
"BÁN ĐẤT NGAY SÔNG VÀ TRUNG TÂM THÀNH PHỐ ĐÀ NẴNG, LH: 0905838433",Giá thỏa thuận,"- Lô đất ngay con sông lớn sông Hàn, vị trí trung tâm thành phố (vị trí địa lý là điểm giữa của các Quận Hải Châu, Quận Ngũ Hành Sơn, Quận Cẩm Lệ), 5 phút đi ô tô ra biển Đà Nẵng. Vì vậy rất thuận ti...","Ngũ Hành Sơn, Đà Nẵng",21/04/2022,105 m²,
CHÍNH CHỦ BÁN ĐẤT - ĐƯỜNG NGUYỄN NHƯỢC PHÁP - PHƯỚC LÝ - HÒA MINH - LIÊN CHIỂU,3.45 tỷ,"Cần tiền xây nhà nên tôi bán lô đất mặt đường Nguyễn Nhược Pháp. + Diện tích: 100m2. + Mặt tiền: 5m. + Đường 10,5m. + Sổ đỏ đứng tên tôi (chính chủ). Giá: 3 tỷ 450 triệu (có bớt cho thiện chí mua). L...","Liên Chiểu, Đà Nẵng",19/04/2022,100 m²,
"CHÍNH CHỦ CẦN BÁN MẶT TIỀN ĐƯỜNG LÊ VĂN THỨ, SƠN TRÀ. GIÁ RẺ NHẤT THỊ TRƯỜNG",75 triệu/m²,Tôi chính chủ cần bán mặt tiền đường Lê Văn Thứ - Tuyến đường thông xuyên suốt từ Ngô Quyền thông ra mặt biển Võ Nguyên Giáp giá rẻ nhất thị trường. Giá chỉ: 75 triệu/m2. Liên hệ: Thảo L...,"Sơn Trà, Đà Nẵng",18/04/2022,140 m²,
TÔI CẦN BÁN GẤP RẺ HƠN THỊ TRƯỜNG 600TR - CĂN SHOPHOUSE BIỂN GIÁ CHỈ HƠN 12 TỶ TÍ THÔI 0848990***,12.5 tỷ,"Giá nhà thuê khu vực này nhà thô 25tr - nhà hoàn thiện là 40tr. Vừa ở vừa cho thuê có ngay dòng tiền + giá trị BĐS lại tăng theo thời gian.Cần bán shophouse tâm huyết. - 4 tầng, 2 mặt tiền đường Nguyễn Sinh Sắc rộng 60m. - Đường sau nhà rộng 7.5m. - Đối diện trung tâm quận Liên Chiểu, Đà Nẵng. - Cách bệnh viện 200m. - Diện tích đất: 7x20m = 140m2. - Diện tích sàn xây dựng: 497m...","Liên Chiểu, Đà Nẵng",16/04/2022,140 m²,
"CẦN BÁN KHÁCH SẠN 5 TẦNG ĐƯỜNG AN HẢI ĐÔNG 1, TRUNG TÂM PHỐ BIỂN ĐÀ NẴNG",Giá thỏa thuận,"Vị trí: - Cách đường vàng Nguyễn Văn Thoại tầm 30m. - Sát bãi biển. - Khu vực trung tâm của phố biển Đà Nẵng. - Vị trí miễn bàn. - Khách sạn đang hoạt động tốt. - Công suất 5 tầng, 17 phòng, full nội thất, có thang máy. - DT sàn đang sử dụng 849m2. - DT đất: 155,8m2. - Hướng: Đông Bắc. - Giá chỉ: 2X tỷ. - Liên hệ, xem, đặt cọc ngay.","Sơn Trà, Đà Nẵng",15/04/2022,155.8 m²,
"CẦN BÁN KHÁCH SẠN VIP TRUNG TÂM BIỂN MỸ KHUÊ, CÁCH VÕ NGUYÊN GIÁP 40M",Giá thỏa thuận,"Cần bán khách sạn vị trí siêu đẹp. - Vị trí cách đường Võ Nguyên Giáp 40m. - Ngay khu trung tâm của phố biển Đà Nẵng. - Ngay khu Phố Tây An Thượng. - Sát bãi tắm Mỹ Khuê Đà Nẵng. - Vị trí vip. - Khách sạn đang hoạt động tốt, diện tích sử dụng 4 tầng. Sử dụng 17 phòng, có thang máy. - Diện tích sàn đang sử dụng là: 716m2. - Diện tích đất: 328m2. - Hướng: Tây Bắc. - Giá chỉ: 2X t...","Ngũ Hành Sơn, Đà Nẵng",15/04/2022,328 m²,
"BIỆT THỰ FUSION RESORT & VILLAS DA NANG VỊ TRÍ ĐỘC TÔN, SẢN PHẨM GIỚI HẠN - 0932560***",Giá thỏa thuận,Fusion Resort & Villas Da Nang có gì hot mà 6/2019 KH mang balo tiền ra tận Hà Nội để dự lễ mở bán và rất nhiều KH không mua được...Quy mô 15.075 ha chỉ có 85 căn biệt thự GĐ1 đã bán 44 căn. GĐ2 chỉ ...,"Ngũ Hành Sơn, Đà Nẵng",14/04/2022,537 m²,
CHIẾT KHẤU ĐẾN 14% KHI SỞ HỮU CĂN HỘ LUXURY VIEW BIỂN LÂU DÀI 5* HIẾM HOI TẠI THỊ TRƯỜNG ĐÀ NẴNG,5.8 tỷ,"The Sang Residence - Tòa căn hộ duy nhất ở Đà Nẵng sở hữu quỹ đất khan hiếm sát biển Mỹ Khê với vị trí cực kì đắc địa, sổ hồng sở hữu vĩnh viễn. Không bỏ lỡ cơ hội duy nhất sở hữu căn hộ view biển tr...","Ngũ Hành Sơn, Đà Nẵng",13/04/2022,82.5 m²,
"CẦN BÁN 2 LÔ LIỀN KỀ SỐ 236 ĐƯỜNG KINH DƯƠNG VƯƠNG, PHƯỜNG THANH KHÊ TÂY, QUẬN THANH KHÊ",Giá thỏa thuận,"Thông tin thông số như sau: Diện tích lần lượt là: 104,2m2 và 104,5m2, mặt tiền mỗi lô là 4.5m. Vỉa hè rộng rãi 6m, đường trước nhà 15m. Đông dân cư, an ninh tốt, gần trường THPT Thanh Khê, Khu kinh ...","Thanh Khê, Đà Nẵng",21/04/2022,208.7 m²,
BIỆT THỰ NGHỈ DƯỠNG VIEW SÔNG - 3 MẶT TIỀN SIÊU THOÁNG - VỊ TRÍ ĐỘC TÔN - TIỆN ÍCH LIỀN KỀ,25 tỷ,Chính chủ bán biệt thự One River Đà Nẵng mặt sông Cổ Cò - căn góc 3 mặt tiền. Vị trí hot nhất dự án: - Biệt thự 2 mặt tiền: 1 mặt sông - 1 mặt đường 33m. - Mặt sau nhà là đường đi bộ mặt tiền sông Cổ...,"Ngũ Hành Sơn, Đà Nẵng",21/04/2022,340 m²,
"BÁN KHÁCH SẠN MẶT PHỐ HỒ NGHINH, DT 200M2, MẶT TIỀN 10M, GIÁ BÁN 78 TỶ, LH LY 0903480***",78 tỷ,Bán khách sạn mặt phố Đà Nẵng 1. Khách sạn MP Dương Đình Nghệ. Diện tích: 368m2. Xây 12 tầng. - Mặt tiền: 18.4m. Sâu 20m - 3 tầng làm nhà hàng - 1 bể bơi - 54 phòng khách sạn Giá 85 tỷ 2. Bán khách...,"Sơn Trà, Đà Nẵng",21/04/2022,200 m²,
BÁN ĐẤT BIỆT THỰ EUROVILLA 2 VIEW SÔNG SIÊU ĐẸP VỊ TRÍ ĐẸP GIÁ ĐẦU TƯ - KHU ĐẤT VÀNG CỦA HOÀ XUÂN,80 triệu/m²,BÁN ĐẤT BIỆT THỰ EUROVILLA 2 VIEW SÔNG SIÊU ĐẸP VỊ TRÍ ĐẮC ĐỊA GIÁ ĐẦU TƯ - KHU ĐẤT VÀNG CỦA HOÀ XUÂN - Block B2.8 lô 1x đầu đường Giáng Hương 1 - Hướng Tây Bắc - Diện tích 315m2 - Là khu vực biệt th...,"Cẩm Lệ, Đà Nẵng",21/04/2022,315 m²,
"BÁN GẤP SHOPHOUSE BIỂN ĐN GẦN BỆNH VIỆN ĐỐI DIỆN QUẬN TRƯỜNG ĐH SÁT BIỂN, GIÁ 12.7 TỶ: 0848990***",12.7 tỷ,"Cần bán shophouse tâm huyết. - 4 tầng, 2 mặt tiền đường Nguyễn Sinh Sắc rộng 60m. - Đường sau nhà rộng 7.5m. - Đối diện trung tâm quận Liên Chiểu, Đà Nẵng. - Cách bệnh viện 200m. - Diện tích đất: 7x20m = 140m2. - Diện tích sàn xây dựng: 497m2, đã hoàn thiện 95%. - Cách biển 300m, cách sân bay quốc tế Đà Nẵng 2km, - Cách 2 trường đại học 500m. - Nằm trên con đường nhà hàng quán ...","Liên Chiểu, Đà Nẵng",21/04/2022,140 m²,
BÁN CĂN HỘ THE FILMORE ĐÀ NẴNG CĂN HỘ MẶT TIỀN SÔNG HÀN NGAY CẠNH CẦU RỒNG,110 triệu/m²,"The Filmore nơi khiến người đi trở nên sang trọng - chốn trở về khiến mình tự hào. Với huyền thoại cá chép hoá rồng, The Filmore biểu tượng mới của Đà Nẵng, căn hộ hạng sang chuẩn 6* không dành cho s...","Hải Châu, Đà Nẵng",21/04/2022,70 m²,
"CẦN BÁN NHÀ 2 TẦNG MẶT TIỀN SỐ 860 ĐƯỜNG TRẦN CAO VÂN, PHƯỜNG THANH KHÊ ĐÔNG, QUẬN THANH KHÊ",Giá thỏa thuận,"Mặt tiền gần 7m, vỉa hè 3m tiện kinh doanh buôn bán, dân cư đông đúc, an ninh. Trung tâm thành phố tiện di chuyển, các tiện ích liền kề đầy đủ. Diện tích 190,9m2. Giá bán liên hệ thương lượng chính c...","Thanh Khê, Đà Nẵng",20/04/2022,190.9 m²,
"BÁN ĐẤT NAM ĐÀ NẴNG ĐẤT VEN BIỂN, GIÁ 26,4TR/M2. LH 0397890***",4.91 tỷ,"Bán đất Nam Đà Nẵng đất ven biển, giá 26,4tr/m2. Vị trí: Nằm trên tuyến đường Võ Nguyên Giáp (Tuyến đường 5 sao) kết nối 2 thành phố du lịch Đà Nẵng - Hội An. Giáp Sông Liền kề Biển. Tiện ích. - Quản...","Ngũ Hành Sơn, Đà Nẵng",20/04/2022,186 m²,
"CẦN BÁN NHANH LÔ ĐẤT 2 MẶT TIỀN ĐƯỜNG TRẦN CAO VÂN, PHƯỜNG XUÂN HÀ, QUẬN THANH KHÊ, ĐÀ NẴNG",Giá thỏa thuận,"Mặt tiền đường chính 10,6m và 1 mặt tiền đường kiệt lớn. Diện tích: 86,4m2. Vỉa hè hơn 3m tiện kinh doanh buôn bán. Vị trí trung tâm thành phố tiện di chuyển đi lại. 2 hướng chính: Nam và Đông. Gía b...","Thanh Khê, Đà Nẵng",20/04/2022,86.4 m²,
"TÔI CHÍNH CHỦ CẦN BÁN GẤP! BIỆT THỰ HỒ BƠI, LƯNG TỰA SÔNG, ĐẤT NGẬP VƯỢNG KHÍ, SỔ ĐỎ LÂU DÀI",Giá thỏa thuận,"Tôi bán căn BT6 - 10, lô đất nở hậu, 3,5 tầng, full sân vườn, bể bơi vô cực. 1. Diện tích đất 468m2, hoàn thiện ốp đá Marble full mặt ngoài chuẩn quốc tế, kênh sinh thái bao quanh, dạo bộ vài bước đến ngay sông Cổ Cò. Gần kề khu đô thị FPT, Cocobay, ĐH Mỹ Thái Bình Dương,... 2. Vị trí cực đắc địa kề sông gần biển nam Đà Nẵng, nằm giữa 2 sân golf, cách biển chỉ 500m. Thuận tiện ...","Ngũ Hành Sơn, Đà Nẵng",20/04/2022,468 m²,
"V5 FPT CITY - CHÍNH CHỦ GỬI BÁN, HƯỚNG BẮC 90M2 - SẠCH ĐẸP KHÔNG TÌ VẾT",Giá thỏa thuận,"* Hàng chính chủ, không cống tủ trụ đèn, sạch đẹp không tì vết. * Tất cả đều nằm trên trục thông, trục nào cũng đẹp.+ B2.17. Xx - Dt 90m2, hướng Bắc. + B2.18. Xx - Dt 90m2, hướng Bắc. + B2.19. Xx - D...","Ngũ Hành Sơn, Đà Nẵng",20/04/2022,90 m²,
VỐN 1.3 TỶ SỞ HỮU CĂN HỘ CAO CẤP 2 PHÒNG NGỦ VEN BIỂN MỸ KHÊ - 01 SUẤT ƯU ĐÃI CK 14% + 300 TRIỆU,Giá thỏa thuận,"Làm thế nào mà chỉ 1.3 tỷ vốn tự có mà vẫn có thể sở hữu căn hộ 2 phòng ngủ, chất lượng cao, nằm vị trí kim cương ven biển Mỹ Khê Đà Nẵng? Hoàn toàn có thể với dự án căn hộ cao cấp The Sang Residence.Chủ đầu tư tung gói đầu tư siêu lợi nhuận dành cho khách hàng giao dịch giai đoạn đầu tiên ra mắt dự án.* Tiềm năng tăng giá: - Chủ đầu tư sẽ tăng giá bán tối thiểu 15 - 30%/giá bá...","Ngũ Hành Sơn, Đà Nẵng",20/04/2022,105.5 m²,
